Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"HØLAND OG SETSKOG";NO0010012636;HSPG;"Oslo Børs";NOK;130,00;130,00;130,00;130,00;"29/12/2023 12:09";CET;27;3510,00;130,00;02/01/2024
"ICE FISH FARM";NO0010884794;IFISH;"Euronext Growth Oslo";NOK;24,20;25,00;24,20;25,00;"02/01/2024 10:58";CET;3066;76637,20;25,00;02/01/2024
"ICELANDIC SALMON";NO0010724701;ISLAX;"Euronext Growth Oslo";NOK;145,00;145,00;145,00;145,00;"02/01/2024 16:25";CET;101;14645,00;145,00;02/01/2024
"IDEX BIOMETRICS";NO0003070609;IDEX;"Oslo Børs";NOK;0,54;0,562;0,52;0,532;"02/01/2024 16:25";CET;6080668;3244220,03;0,532;02/01/2024
INDUCT;NO0010536048;INDCT;"Euronext Growth Oslo";NOK;5,05;5,70;5,05;5,45;"02/01/2024 16:06";CET;5874;30762,75;5,45;02/01/2024
"INIFY LABORATORIES";SE0017486103;INIFY;"Euronext Growth Oslo";NOK;13,60;13,60;12,80;12,80;"02/01/2024 16:02";CET;1807;24066,65;12,80;02/01/2024
"ININ GROUP";NO0010864036;ININ;"Euronext Growth Oslo";NOK;3,00;3,06;3,00;3,06;"02/01/2024 16:03";CET;26258;79571,50;3,06;02/01/2024
INSTABANK;NO0010762792;INSTA;"Euronext Growth Oslo";NOK;1,70;1,70;1,69;1,69;"02/01/2024 15:37";CET;50461;85437,52;1,69;02/01/2024
"INTEGRATED WIND SO";NO0010955883;IWS;"Euronext Growth Oslo";NOK;47,80;47,80;43,20;43,20;"29/12/2023 15:01";CET;41;1844,20;43,20;02/01/2024
"INTEROIL EXPL PROD";NO0010284318;IOX;"Oslo Børs";NOK;0,60;0,61;0,592;0,61;"02/01/2024 16:25";CET;209007;126168,15;0,61;02/01/2024
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;12,20;13,20;12,20;13,10;"02/01/2024 16:25";CET;14233;176021,75;13,10;02/01/2024
"JINHUI SHIPP TRANS";BMG5137R1088;JIN;"Oslo Børs";NOK;5,95;6,90;5,84;6,71;"02/01/2024 16:25";CET;795389;5200070,91;6,71;02/01/2024
"JÆREN SPAREBANK";NO0010359433;JAREN;"Oslo Børs";NOK;264,00;264,00;264,00;264,00;"02/01/2024 09:49";CET;3;792,00;264,00;02/01/2024
KAHOOT!;NO0010823131;KAHOT;"Oslo Børs";NOK;34,20;34,40;34,20;34,32;"02/01/2024 16:25";CET;175434;6016560,83;34,32;02/01/2024
KID;NO0010743545;KID;"Oslo Børs";NOK;117,20;117,40;114,20;116,00;"02/01/2024 16:25";CET;29327;3400300,60;116,00;02/01/2024
KITRON;NO0003079709;KIT;"Oslo Børs";NOK;33,45;33,45;32,10;32,30;"02/01/2024 16:29";CET;308227;10051402,55;32,30;02/01/2024
"KLAVENESS COMBINAT";NO0010833262;KCC;"Oslo Børs";NOK;87,20;90,00;87,20;88,40;"02/01/2024 16:25";CET;79838;7075548,60;88,40;02/01/2024
"KMC PROPERTIES";NO0010360175;KMCP;"Oslo Børs";NOK;6,30;6,58;6,30;6,58;"02/01/2024 16:25";CET;56011;355813,92;6,58;02/01/2024
KOMPLETT;NO0011016040;KOMPL;"Oslo Børs";NOK;12,00;12,00;11,10;11,10;"02/01/2024 16:25";CET;116538;1330026,98;11,10;02/01/2024
"KONGSBERG AUTOMOT";NO0003033102;KOA;"Oslo Børs";NOK;2,06;2,076;2,016;2,046;"02/01/2024 16:25";CET;3563862;7258881,17;2,046;02/01/2024
"KONGSBERG GRUPPEN";NO0003043309;KOG;"Oslo Børs";NOK;466,40;475,00;466,40;471,00;"02/01/2024 16:25";CET;96626;45489759,80;471,00;02/01/2024
"KRAFT BANK";NO0010815103;KRAB;"Euronext Growth Oslo";NOK;8,15;8,15;8,15;8,15;"02/01/2024 10:15";CET;8800;71720,00;8,15;02/01/2024
"KYOTO GROUP";NO0010936750;KYOTO;"Euronext Growth Oslo";NOK;16,80;16,80;16,50;16,50;"02/01/2024 13:10";CET;20153;335788,30;16,50;02/01/2024
"LEA BANK";NO0010167331;LEA;"Euronext Growth Oslo";NOK;7,80;7,80;7,40;7,80;"02/01/2024 16:09";CET;328589;2520927,24;7,80;02/01/2024
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;41,92;42,50;41,64;41,74;"02/01/2024 16:25";CET;475087;19967541,76;41,74;02/01/2024
LIFECARE;NO0010591191;LIFE;"Euronext Growth Oslo";NOK;4,51;4,88;4,50;4,68;"02/01/2024 16:25";CET;246015;1147292,32;4,68;02/01/2024
"LINK MOBILITY GRP";NO0010894231;LINK;"Oslo Børs";NOK;18,26;18,32;17,24;17,32;"02/01/2024 16:27";CET;657666;11538578,12;17,32;02/01/2024
"LOKOTECH GROUP";NO0010921299;LOKO;"Euronext Growth Oslo";NOK;0,79;0,806;0,75;0,77;"02/01/2024 15:15";CET;258500;197935,52;0,77;02/01/2024
"LUMI GRUPPEN";NO0010927288;LUMI;"Euronext Growth Oslo";NOK;15,00;15,00;15,00;15,00;"02/01/2024 09:49";CET;10;150,00;15,00;02/01/2024
"LYTIX BIOPHARMA";NO0010405780;LYTIX;"Euronext Growth Oslo";NOK;5,00;5,00;4,86;5,00;"02/01/2024 15:59";CET;5070;25031,40;5,00;02/01/2024
"M VEST WATER";NO0010976343;MVW;"Euronext Growth Oslo";NOK;7,00;7,16;6,92;7,00;"02/01/2024 16:19";CET;30084;212820,02;7,00;02/01/2024
MAGNORA;NO0010187032;MGN;"Oslo Børs";NOK;33,40;33,40;31,75;31,90;"02/01/2024 16:26";CET;85388;2772347,55;31,90;02/01/2024
MATVAREEXPRESSEN;NO0013008664;MVE;"Euronext Growth Oslo";NOK;71,30;71,30;71,00;71,00;"02/01/2024 15:43";CET;280;19910,00;71,00;02/01/2024
MEDISTIM;NO0010159684;MEDI;"Oslo Børs";NOK;210,00;220,00;209,00;220,00;"02/01/2024 16:25";CET;11124;2380611,00;220,00;02/01/2024
"MELHUS SPAREBANK";NO0006001908;MELG;"Oslo Børs";NOK;160,00;161,00;160,00;161,00;"29/12/2023 12:18";CET;622;99542,00;161,00;02/01/2024
"MINTRA HOLDING";NO0010895022;MNTR;"Euronext Growth Oslo";NOK;3,54;3,60;3,48;3,60;"02/01/2024 16:25";CET;16701;58273,73;3,60;02/01/2024
"MORROW BANK";NO0010694029;MOBA;"Oslo Børs";NOK;3,95;3,95;3,84;3,88;"02/01/2024 16:25";CET;6216;24260,42;3,88;02/01/2024
MOWI;NO0003054108;MOWI;"Oslo Børs";NOK;183,80;185,00;182,10;183,35;"02/01/2024 16:25";CET;671502;123210229,75;183,35;02/01/2024
"MPC CONTAINER SHIP";NO0010791353;MPCC;"Oslo Børs";NOK;13,50;13,79;13,48;13,57;"02/01/2024 16:28";CET;2897630;39472951,75;13,57;02/01/2024
"MPC ENERGY SOLUTIO";NL0015268814;MPCES;"Euronext Growth Oslo";NOK;10,95;10,95;10,65;10,65;"02/01/2024 16:25";CET;5842;62390,75;10,65;02/01/2024
MULTICONSULT;NO0010734338;MULTI;"Oslo Børs";NOK;125,00;126,50;124,50;126,50;"02/01/2024 16:25";CET;5005;628630,50;126,50;02/01/2024
MÅSØVAL;NO0010974983;MAS;"Euronext Growth Oslo";NOK;26,00;28,80;24,80;26,00;"02/01/2024 16:25";CET;60292;1544474,00;26,00;02/01/2024
NAPATECH;DK0060520450;NAPA;"Oslo Børs";NOK;12,30;13,25;12,30;13,25;"02/01/2024 16:25";CET;14245;184892,75;13,25;02/01/2024
NAVAMEDIC;NO0010205966;NAVA;"Oslo Børs";NOK;36,70;38,00;36,70;37,00;"02/01/2024 14:36";CET;15444;578606,00;37,00;02/01/2024
NEKKAR;NO0003049405;NKR;"Oslo Børs";NOK;9,40;9,40;9,23;9,35;"02/01/2024 16:27";CET;101415;941652,78;9,35;02/01/2024
NEL;NO0010081235;NEL;"Oslo Børs";NOK;6,80;6,966;6,736;6,912;"02/01/2024 16:25";CET;5155454;35321502,89;6,912;02/01/2024
"NEXT BIOMETRICS GP";NO0010629108;NEXT;"Oslo Børs";NOK;7,00;7,00;6,94;7,00;"02/01/2024 16:18";CET;112865;787071,36;7,00;02/01/2024
"NIDAROS SPAREBANK";NO0010733082;NISB;"Euronext Growth Oslo";NOK;112,00;112,00;112,00;112,00;"02/01/2024 11:32";CET;51;5712,00;112,00;02/01/2024
"NORAM DRILLING";NO0010360019;NORAM;"Euronext Growth Oslo";NOK;41,65;42,10;41,20;42,10;"02/01/2024 16:29";CET;48423;2021885,50;42,10;02/01/2024
NORBIT;NO0010856511;NORBT;"Oslo Børs";NOK;57,60;58,00;57,00;57,00;"02/01/2024 16:25";CET;59676;3415361,20;57,00;02/01/2024
NORCOD;NO0010892912;NCOD;"Euronext Growth Oslo";NOK;15,95;16,45;14,60;16,20;"02/01/2024 15:27";CET;10415;166703,20;16,20;02/01/2024
NORCONSULT;NO0013052209;NORCO;"Oslo Børs";NOK;25,00;25,07;23,60;23,60;"02/01/2024 16:28";CET;444005;10856157,17;23,60;02/01/2024
"NORDHEALTH A-AKSJE";NO0011002651;NORDH;"Euronext Growth Oslo";NOK;28,00;28,00;25,00;25,40;"02/01/2024 16:25";CET;19885;502093,80;25,40;02/01/2024
"NORDIC AQUA PART";NO0012928805;NOAP;"Euronext Growth Oslo";NOK;82,50;84,00;82,50;84,00;"02/01/2024 15:29";CET;1774;147829,00;84,00;02/01/2024
"NORDIC HALIBUT";NO0003058109;NOHAL;"Euronext Growth Oslo";NOK;19,00;19,00;18,00;18,90;"02/01/2024 14:13";CET;11978;223710,30;18,90;02/01/2024
"NORDIC MINING";NO0010317340;NOM;"Euronext Expand Oslo";NOK;0,86;0,86;0,796;0,808;"02/01/2024 16:27";CET;21337530;17533336,05;0,808;02/01/2024
"NORDIC SEMICONDUC";NO0003055501;NOD;"Oslo Børs";NOK;126,00;126,30;118,95;119,30;"02/01/2024 16:25";CET;611232;73674294,70;119,30;02/01/2024
"NORDIC TECHNOLOGY";NO0011018434;NTG;"Euronext Growth Oslo";NOK;3,16;3,50;3,16;3,50;"02/01/2024 16:16";CET;57292;199724,88;3,50;02/01/2024
"NORDIC UNMANNED";NO0010907090;NUMND;"Euronext Growth Oslo";NOK;0,445;0,4795;0,445;0,469;"02/01/2024 16:18";CET;257945;120876,89;0,469;02/01/2024
"NORSE ATLANTIC";NO0012885252;NORSE;"Euronext Expand Oslo";NOK;12,50;12,50;12,00;12,256;"02/01/2024 16:25";CET;144523;1762688,12;12,256;02/01/2024
"NORSK HYDRO";NO0005052605;NHY;"Oslo Børs";NOK;68,60;68,78;67,70;68,28;"02/01/2024 16:25";CET;2435757;166218530,76;68,28;02/01/2024
"NORSK RENEWABLES";NO0010941925;NSOL;"Euronext Growth Oslo";NOK;1,515;1,515;1,47;1,47;"02/01/2024 16:14";CET;52485;79449,78;1,47;02/01/2024
"NORSK TITANIUM";NO0010969108;NTI;"Euronext Growth Oslo";NOK;3,14;3,14;2,90;2,90;"02/01/2024 16:25";CET;176749;530306,08;2,90;02/01/2024
"NORSKE SKOG";NO0010861115;NSKOG;"Oslo Børs";NOK;41,60;42,40;40,88;41,34;"02/01/2024 16:25";CET;203592;8474181,30;41,34;02/01/2024
"NORTH ENERGY";NO0010550056;NORTH;"Euronext Expand Oslo";NOK;2,06;2,12;2,06;2,06;"02/01/2024 16:29";CET;113035;234885,93;2,06;02/01/2024
"NORTHERN DRILLING";BMG6624L1090;NODL;"Oslo Børs";NOK;0,95;0,954;0,79;0,82;"02/01/2024 16:28";CET;6836812;5865822,13;0,82;02/01/2024
"NORTHERN OCEAN LTD";BMG6682J1036;NOL;"Oslo Børs";NOK;10,98;10,98;10,42;10,68;"02/01/2024 16:25";CET;144716;1535091,56;10,68;02/01/2024
"NORWEGIAN AIR SHUT";NO0010196140;NAS;"Oslo Børs";NOK;10,72;11,08;10,70;11,00;"02/01/2024 16:28";CET;5976194;65556980,12;11,00;02/01/2024
"NORWEGIAN BLOCK EX";NO0010984966;NBX;"Euronext Growth Oslo";NOK;0,688;0,688;0,662;0,68;"02/01/2024 16:25";CET;34361;23028,51;0,68;02/01/2024
"NRC GROUP";NO0003679102;NRC;"Oslo Børs";NOK;10,70;10,90;10,60;10,76;"02/01/2024 16:25";CET;32113;345736,86;10,76;02/01/2024
"NYKODE THERAPEUTIC";NO0010714785;NYKD;"Oslo Børs";NOK;21,40;21,40;19,63;19,90;"02/01/2024 16:26";CET;1567778;31751449,84;19,90;02/01/2024
"OBSERVE MEDICAL";NO0010865009;OBSRV;"Euronext Expand Oslo";NOK;0,3135;0,3495;0,3115;0,339;"02/01/2024 16:25";CET;781480;253097,16;0,339;02/01/2024
"OCEAN GEOLOOP";NO0010914641;OCEAN;"Euronext Growth Oslo";NOK;8,00;8,02;7,80;7,80;"02/01/2024 15:25";CET;5805;45743,10;7,80;02/01/2024
"OCEAN SUN";NO0010887565;OSUN;"Euronext Growth Oslo";NOK;3,81;4,19;3,81;4,13;"02/01/2024 16:26";CET;15333;60570,95;4,13;02/01/2024
OCEANTEAM;NO0010317316;OTS;"Oslo Børs";NOK;1,49;1,49;1,32;1,38;"02/01/2024 15:42";CET;75851;102236,54;1,38;02/01/2024
"ODFJELL DRILLING";BMG671801022;ODL;"Oslo Børs";NOK;39,50;40,40;39,35;39,65;"02/01/2024 16:25";CET;331525;13223649,40;39,65;02/01/2024
"ODFJELL SER. A";NO0003399909;ODF;"Oslo Børs";NOK;117,00;118,00;115,00;115,00;"02/01/2024 16:25";CET;14722;1709417,50;115,00;02/01/2024
"ODFJELL SER. B";NO0003399917;ODFB;"Oslo Børs";NOK;116,50;117,00;113,50;115,00;"02/01/2024 16:25";CET;1022;117984,00;115,00;02/01/2024
"ODFJELL TECHNOLOGY";BMG6716L1081;OTL;"Oslo Børs";NOK;55,50;56,70;55,20;55,20;"02/01/2024 16:25";CET;26364;1474191,10;55,20;02/01/2024
OKEA;NO0010816895;OKEA;"Oslo Børs";NOK;26,70;27,00;26,16;26,92;"02/01/2024 16:25";CET;1507027;40161893,12;26,92;02/01/2024
"OKEANIS ECO TANKER";MHY641771016;OET;"Oslo Børs";NOK;276,50;283,00;276,50;281,50;"02/01/2024 16:25";CET;63966;17916300,50;281,50;02/01/2024
"OLAV THON EIENDOMS";NO0005638858;OLT;"Oslo Børs";NOK;187,00;188,50;183,00;183,50;"02/01/2024 16:25";CET;13281;2461762,00;183,50;02/01/2024
OMDA;NO0010894512;OMDA;"Euronext Growth Oslo";NOK;34,20;38,00;34,20;37,00;"29/12/2023 16:25";CET;8569;316491,20;37,00;02/01/2024
ORKLA;NO0003733800;ORK;"Oslo Børs";NOK;79,00;79,38;78,50;78,94;"02/01/2024 16:26";CET;545103;43034085,88;78,94;02/01/2024
"OTELLO CORPORATION";NO0010040611;OTEC;"Oslo Børs";NOK;8,20;8,28;7,82;7,96;"02/01/2024 16:26";CET;55308;440491,32;7,96;02/01/2024
OTOVO;NO0010809783;OTOVO;"Oslo Børs";NOK;3,445;3,575;3,28;3,395;"02/01/2024 16:25";CET;329611;1119996,32;3,395;02/01/2024
"PANORO ENERGY";NO0010564701;PEN;"Oslo Børs";NOK;27,10;27,40;26,78;27,02;"02/01/2024 16:26";CET;338795;9154329,30;27,02;02/01/2024
